"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-server/src/main/java/com/flipkart/foxtrot/server/providers/exception/FoxtrotExceptionMapper.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-server/src/main/java/com/flipkart/foxtrot/server/providers/exception/FoxtrotExceptionMapper.java;15;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response)]";[VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement];[18-18, 38-38, 31-31, 33-33, 36-36, 26-26];[74-74, 86-86, 76-76, 73-73, 86-86, 86-86]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-sql/src/main/java/com/flipkart/foxtrot/sql/FqlEngine.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-sql/src/main/java/com/flipkart/foxtrot/sql/FqlEngine.java;2;[DeleteOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionExecutionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionExecutionException.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/UnresolvableActionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/UnresolvableActionException.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DataCleanupException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DataCleanupException.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DocumentMissingException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DocumentMissingException.java;5;[UpdateOperation, UpdateOperation, DeleteOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableMissingException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableMissingException.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableExistsException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableExistsException.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/FoxtrotException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/FoxtrotException.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreExecutionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreExecutionException.java;1;[InsertOperation];"[]";[];[];[]
