bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-netty/src/main/java/io/nflow/netty/config/NflowNettyConfiguration.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-netty/src/main/java/io/nflow/netty/config/NflowNettyConfiguration.java;io.nflow.netty.config$NflowNettyConfiguration;io.nflow.netty.config$NflowNettyConfiguration;1;[UpdateOperation];"[CR_outside_criteria(from=@org.springframework.context.annotation.ComponentScan(""ios.nflow.rest.v1.springweb""),to=@org.springframework.context.annotation.ComponentScan(""io.nflow.rest.v1.springweb""))]";[ConstantReplacement];[20-20];[16-44];[20-20];[16-43]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-engine/src/main/java/io/nflow/engine/service/WorkflowDefinitionService.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-engine/src/main/java/io/nflow/engine/service/WorkflowDefinitionService.java;io.nflow.engine.service$WorkflowDefinitionService;io.nflow.engine.service$WorkflowDefinitionService;4;[DeleteOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-engine/src/test/java/io/nflow/engine/service/WorkflowDefinitionServiceTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-engine/src/test/java/io/nflow/engine/service/WorkflowDefinitionServiceTest.java;io.nflow.engine.service$WorkflowDefinitionServiceTest;io.nflow.engine.service$WorkflowDefinitionServiceTest;3;[DeleteOperation, InsertOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/config/RestClientConfiguration.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/config/RestClientConfiguration.java;io.nflow.tests.config$RestClientConfiguration;io.nflow.tests.config$RestClientConfiguration;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/AbstractNflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/AbstractNflowTest.java;io.nflow.tests$AbstractNflowTest;io.nflow.tests$AbstractNflowTest;5;[UpdateOperation, UpdateOperation, InsertOperation, InsertOperation, InsertOperation];"[AMethodC(from=getInstanceResource(instanceId),to=getInstanceIdResource(instanceId)), AMethodC(from=getInstanceResource(instanceId),to=getInstanceIdResource(instanceId))]";[AccessorMethodChange, AccessorMethodChange];[147-147, 74-74];[12-42, 12-42];[159-159, 81-81];[12-44, 12-44]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/PreviewCreditApplicationWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/PreviewCreditApplicationWorkflowTest.java;io.nflow.tests$PreviewCreditApplicationWorkflowTest;io.nflow.tests$PreviewCreditApplicationWorkflowTest;6;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[73-73];[36-59];[73-73];[41-66]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/StatisticsTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/StatisticsTest.java;io.nflow.tests$StatisticsTest;io.nflow.tests$StatisticsTest;6;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[99-99];[36-59];[99-99];[41-66]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/MetricsAdminServletTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/MetricsAdminServletTest.java;io.nflow.tests$MetricsAdminServletTest;io.nflow.tests$MetricsAdminServletTest;4;[InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/CreditApplicationWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/CreditApplicationWorkflowTest.java;io.nflow.tests$CreditApplicationWorkflowTest;io.nflow.tests$CreditApplicationWorkflowTest;1;[UpdateOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[66-66];[16-39];[66-66];[16-41]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/DemoWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/DemoWorkflowTest.java;io.nflow.tests$DemoWorkflowTest;io.nflow.tests$DemoWorkflowTest;1;[UpdateOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[88-88];[56-79];[88-88];[56-81]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/BadRequestExceptionMapperTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/BadRequestExceptionMapperTest.java;io.nflow.jetty.mapper$BadRequestExceptionMapperTest;io.nflow.jetty.mapper$BadRequestExceptionMapperTest;4;[InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/CustomValidationExceptionMapperTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/CustomValidationExceptionMapperTest.java;io.nflow.jetty.mapper$CustomValidationExceptionMapperTest;io.nflow.jetty.mapper$CustomValidationExceptionMapperTest;13;[InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/NotFoundExceptionMapperTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-jetty/src/test/java/io/nflow/jetty/mapper/NotFoundExceptionMapperTest.java;io.nflow.jetty.mapper$NotFoundExceptionMapperTest;io.nflow.jetty.mapper$NotFoundExceptionMapperTest;4;[InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-rest-api-jax-rs/src/main/java/io/nflow/rest/v1/jaxrs/WorkflowInstanceResource.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-rest-api-jax-rs/src/main/java/io/nflow/rest/v1/jaxrs/WorkflowInstanceResource.java;io.nflow.rest.v1.jaxrs$WorkflowInstanceResource;io.nflow.rest.v1.jaxrs$WorkflowInstanceResource;2;[UpdateOperation, UpdateOperation];"[CR_outside_criteria(from=@javax.ws.rs.Path(""/{id}""),to=@javax.ws.rs.Path(""/id/{id}"")), CR_outside_criteria(from=@javax.ws.rs.Path(""/{id}""),to=@javax.ws.rs.Path(""/id/{id}""))]";[ConstantReplacement, ConstantReplacement];[96-96, 108-108];[9-15, 9-15];[96-96, 108-108];[9-18, 9-18]
