"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-netty/src/main/java/io/nflow/netty/config/NflowNettyConfiguration.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-netty/src/main/java/io/nflow/netty/config/NflowNettyConfiguration.java;1;[UpdateOperation];"[CR_outside_criteria(from=@org.springframework.context.annotation.ComponentScan(""ios.nflow.rest.v1.springweb""),to=@org.springframework.context.annotation.ComponentScan(""io.nflow.rest.v1.springweb""))]";[ConstantReplacement];[20-20];[16-44]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-engine/src/main/java/io/nflow/engine/service/WorkflowDefinitionService.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-engine/src/main/java/io/nflow/engine/service/WorkflowDefinitionService.java;4;[DeleteOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-engine/src/test/java/io/nflow/engine/service/WorkflowDefinitionServiceTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-engine/src/test/java/io/nflow/engine/service/WorkflowDefinitionServiceTest.java;3;[DeleteOperation, InsertOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/config/RestClientConfiguration.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/config/RestClientConfiguration.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/AbstractNflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/AbstractNflowTest.java;5;[UpdateOperation, UpdateOperation, InsertOperation, InsertOperation, InsertOperation];"[AMethodC(from=getInstanceResource(instanceId),to=getInstanceIdResource(instanceId)), AMethodC(from=getInstanceResource(instanceId),to=getInstanceIdResource(instanceId))]";[AccessorMethodChange, AccessorMethodChange];[147-147, 74-74];[12-42, 12-42]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/PreviewCreditApplicationWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/PreviewCreditApplicationWorkflowTest.java;6;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[73-73];[36-59]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/StatisticsTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/StatisticsTest.java;6;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[99-99];[36-59]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/MetricsAdminServletTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/MetricsAdminServletTest.java;4;[InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/CreditApplicationWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/CreditApplicationWorkflowTest.java;1;[UpdateOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[66-66];[16-39]
bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/pre_bug/nflow-tests/src/test/java/io/nflow/tests/DemoWorkflowTest.java;bugswarm-sandbox/bugs/NitorCreations/nflow/197273836/bug/nflow-tests/src/test/java/io/nflow/tests/DemoWorkflowTest.java;1;[UpdateOperation];"[VVR(from=workflowInstanceResource,to=workflowInstanceIdResource)]";[VarToVarReplacement];[88-88];[56-79]
