"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/Player.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/Player.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/level/Level.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/level/Level.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/level/generator/biome/MountainsBiome.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/level/generator/biome/MountainsBiome.java;1;[DeleteOperation];"[SD(deleted=return ""Mountains"")]";[StatementDeletion];[36-36];[9-27]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/level/generator/biome/WateryBiome.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/level/generator/biome/WateryBiome.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/utils/Config.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/utils/Config.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/utils/ConfigSection.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/utils/ConfigSection.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/item/ItemColorArmor.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/item/ItemColorArmor.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/event/player/PlayerTeleportEvent.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/event/player/PlayerTeleportEvent.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/nbt/tag/CompoundTag.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/nbt/tag/CompoundTag.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/nbt/stream/NBTOutputStream.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/nbt/stream/NBTOutputStream.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/pre_bug/src/main/java/cn/nukkit/nbt/stream/NBTInputStream.java;bugswarm-sandbox/bugs/Nukkit/Nukkit/126210680/bug/src/main/java/cn/nukkit/nbt/stream/NBTInputStream.java;0;[];"[]";[];[];[]
