"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromDataSource.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromDataSource.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromContext.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromContext.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/tuple/Tuples.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/tuple/Tuples.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderSingletonManualCommit.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderSingletonManualCommit.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderPooled.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderPooled.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromUrl.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderFromUrl.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/Util.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/Util.java;9;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ResultSetCache.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ResultSetCache.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderAutoCommitting.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/main/java/com/github/davidmoten/rx/jdbc/ConnectionProviderAutoCommitting.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/test/java/com/github/davidmoten/rx/jdbc/DatabaseMasterDetailTest.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/test/java/com/github/davidmoten/rx/jdbc/DatabaseMasterDetailTest.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/test/java/com/github/davidmoten/rx/jdbc/DatabaseCreator.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/test/java/com/github/davidmoten/rx/jdbc/DatabaseCreator.java;3;[UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/pre_bug/src/test/java/com/github/davidmoten/rx/jdbc/ConnectionDemoTest.java;bugswarm-sandbox/bugs/davidmoten/rxjava-jdbc/65364620/bug/src/test/java/com/github/davidmoten/rx/jdbc/ConnectionDemoTest.java;1;[UpdateOperation];"[]";[];[];[]
