"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/manchestersyntax/parser/ManchesterOWLSyntaxOntologyParser.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/manchestersyntax/parser/ManchesterOWLSyntaxOntologyParser.java;3;[DeleteOperation, DeleteOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/manchestersyntax/parser/ManchesterOWLSyntaxParserImpl.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/manchestersyntax/parser/ManchesterOWLSyntaxParserImpl.java;11;[UpdateOperation, UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation];"[NVMD(deleted call to=getOntologyLoaderConfiguration()), NVMD(deleted call to=getOntologyLoaderConfiguration())]";[NonVoidMethodDeletion, NonVoidMethodDeletion];[2143-2143, 2184-2184];[21-52, 17-48]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/RDFRendererBase.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/RDFRendererBase.java;5;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[AMethodC(from=ontology.getOWLOntologyManager().getOntologyWriterConfiguration(),to=ontology.getOWLOntologyManager().getOntologyConfigurator()), ArgTypeC(from=org.semanticweb.owlapi.model.OWLOntologyWriterConfiguration config,to=org.semanticweb.owlapi.model.OntologyConfigurator config), AMethodC(from=m.getOntologyWriterConfiguration(),to=m.getOntologyConfigurator())]";[AccessorMethodChange, ArgumentTypeChange, AccessorMethodChange];[148-148, 151-151, 156-156];[24-88, 53-82, 13-46]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/OWLRDFConsumer.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/OWLRDFConsumer.java;5;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/RDFConsumer.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/RDFConsumer.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/Translators.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/Translators.java;7;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/RDFParser.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/parser/RDFParser.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/renderer/XMLWriterImpl.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/renderer/XMLWriterImpl.java;5;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[ArgTypeC(from=org.semanticweb.owlapi.model.OWLOntologyWriterConfiguration preferences,to=org.semanticweb.owlapi.model.OntologyConfigurator preferences)]";[ArgumentTypeChange];[74-74];[25-54]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/renderer/RDFXMLRenderer.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/rdfxml/renderer/RDFXMLRenderer.java;2;[UpdateOperation, UpdateOperation];"[AMethodC(from=ontology.getOWLOntologyManager().getOntologyWriterConfiguration(),to=ontology.getOWLOntologyManager().getOntologyConfigurator())]";[AccessorMethodChange];[82-82];[13-77]
bugswarm-sandbox/bugs/owlcs/owlapi/215059046/pre_bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/turtle/renderer/TurtleRenderer.java;bugswarm-sandbox/bugs/owlcs/owlapi/215059046/bug/parsers/src/main/java/org/semanticweb/owlapi/rdf/turtle/renderer/TurtleRenderer.java;1;[UpdateOperation];"[AMethodC(from=ontology.getOWLOntologyManager().getOntologyWriterConfiguration(),to=ontology.getOWLOntologyManager().getOntologyConfigurator())]";[AccessorMethodChange];[78-78];[25-89]
