"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java;165;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.Resolved{"" + "", annotatedElement=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.Resolved{"" + "", annotatedElement="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedTypeVariableType{"" + "", typeVariable=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedTypeVariableType{"" + "", typeVariable="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedSuperClass{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedSuperClass{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedFieldType{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedFieldType{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedReturnType{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedReturnType{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedInterfaceType{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedInterfaceType{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedParameterizedType{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedParameterizedType{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm.AnnotatedExceptionType{"" + ""dispatcher=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm.AnnotatedExceptionType{"" + ""dispatcher="")), CR_outside_criteria(from=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForModernVm{"" + ""getAnnotatedSuperclass=""),to=(""TypeDescription.Generic.AnnotationReader.Dispatcher.ForJava8CapableVm{"" + ""getAnnotatedSuperclass=""))]";[ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement, ConstantReplacement];[2794-2794, 2842-2842, 2901-2901, 3030-3030, 3090-3090, 2969-2969, 3158-3158, 3227-3227, 2745-2745];[36-110, 36-127, 36-121, 36-120, 36-121, 36-124, 36-128, 36-124, 32-97]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java;10;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[CR_outside_criteria(from=(""ParameterList.ForLoadedExecutable.Dispatcher.ForModernVm{"" + ""getParameterCount=""),to=(""ParameterList.ForLoadedExecutable.Dispatcher.ForJava8CapableVm{"" + ""getParameterCount=""))]";[ConstantReplacement];[284-284];[28-86]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterDescription.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterDescription.java;39;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, InsertOperation];"[ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), ArgTypeC(from=java.lang.Object executable,to=java.lang.reflect.AccessibleObject executable), CR_outside_criteria(from=(""ParameterDescription.ForLoadedParameter.Dispatcher.ForModernVm{"" + ""getParameters=""),to=(""ParameterDescription.ForLoadedParameter.Dispatcher.ForJava8CapableVm{"" + ""getParameters=""))]";[ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ArgumentTypeChange, ConstantReplacement];[280-280, 289-289, 298-298, 341-341, 352-352, 363-363, 433-433, 438-438, 443-443, 412-412];[30-35, 35-40, 28-33, 41-46, 46-51, 39-44, 41-46, 46-51, 39-44, 28-92]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/utility/JavaInstance.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/main/java/net/bytebuddy/utility/JavaInstance.java;60;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[CR_outside_criteria(from=(""JavaInstance.MethodType.Dispatcher.ForModernVm{"" + ""returnType=""),to=(""JavaInstance.MethodType.Dispatcher.ForJava7CapableVm{"" + ""returnType="")), CR_outside_criteria(from=(""JavaInstance.MethodHandle.Dispatcher.ForModernVm{"" + ""publicLookup=""),to=(""JavaInstance.MethodHandle.Dispatcher.ForJava8CapableVm{"" + ""publicLookup="")), CR_outside_criteria(from=(""JavaInstance.MethodHandle.Dispatcher.ForIntermediateVm{"" + ""publicLookup=""),to=(""JavaInstance.MethodHandle.Dispatcher.ForJava7CapableVm{"" + ""publicLookup=""))]";[ConstantReplacement, ConstantReplacement, ConstantReplacement];[382-382, 1108-1108, 1203-1203];[28-76, 28-78, 28-84]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java;13;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[CR_outside_criteria(from=(""ByteArrayClassLoader.ChildFirst.SynchronizationEngine.ForModernVm{method="" + method),to=(""ByteArrayClassLoader.ChildFirst.SynchronizationEngine.ForJava7CapableVm{method="" + method))]";[ConstantReplacement];[713-713];[28-102]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/type/TypeDescriptionGenericAnnotationReaderTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/type/TypeDescriptionGenericAnnotationReaderTest.java;9;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/method/ParameterListForLoadedExectutableDispatcherTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/method/ParameterListForLoadedExectutableDispatcherTest.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/method/ParameterDescriptionForLoadedParameterDispatcherTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/test/java/net/bytebuddy/description/method/ParameterDescriptionForLoadedParameterDispatcherTest.java;4;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/utility/JavaInstanceMethodHandleDispatcherTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/test/java/net/bytebuddy/utility/JavaInstanceMethodHandleDispatcherTest.java;2;[UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/utility/JavaInstanceMethodTypeDispatcherTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/103907054/bug/byte-buddy-dep/src/test/java/net/bytebuddy/utility/JavaInstanceMethodTypeDispatcherTest.java;1;[UpdateOperation];"[]";[];[];[]
