bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/AsmVisitorWrapper.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/AsmVisitorWrapper.java;net.bytebuddy.asm$AsmVisitorWrapper;net.bytebuddy.asm$AsmVisitorWrapper;3;[UpdateOperation, UpdateOperation, UpdateOperation];"[VVR(from=methodDescription,to=instrumentedMethod)]";[VarToVarReplacement];[532-532];[81-97];[532-532];[81-98]
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/Advice.java,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/Advice.java
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/agent/builder/AgentBuilder.java,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/agent/builder/AgentBuilder.java
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/InvocationHandlerAdapter.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/InvocationHandlerAdapter.java;net.bytebuddy.implementation$InvocationHandlerAdapter;net.bytebuddy.implementation$InvocationHandlerAdapter;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/FixedValue.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/FixedValue.java;net.bytebuddy.implementation$FixedValue;net.bytebuddy.implementation$FixedValue;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/Implementation.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/Implementation.java;net.bytebuddy.implementation$Implementation;net.bytebuddy.implementation$Implementation;2;[UpdateOperation, UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/SuperMethodCall.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/SuperMethodCall.java;net.bytebuddy.implementation$SuperMethodCall;net.bytebuddy.implementation$SuperMethodCall;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/StubMethod.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/StubMethod.java;net.bytebuddy.implementation$StubMethod;net.bytebuddy.implementation$StubMethod;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bytecode/member/MethodReturn.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bytecode/member/MethodReturn.java;net.bytebuddy.implementation.bytecode.member$MethodReturn;net.bytebuddy.implementation.bytecode.member$MethodReturn;8;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation];"[ArgTypeC(from=net.bytebuddy.description.type.TypeDescription typeDescription,to=net.bytebuddy.description.type.TypeDefinition typeDefinition), VVR(from=typeDescription,to=typeDefinition), VVR(from=typeDescription,to=typeDefinition), VVR(from=typeDescription,to=typeDefinition), VVR(from=typeDescription,to=typeDefinition), VVR(from=typeDescription,to=typeDefinition)]";[ArgumentTypeChange, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement];[72-72, 73-73, 74-74, 76-76, 78-78, 80-80];[47-61, 13-27, 17-31, 24-38, 24-38, 24-38];[72-72, 73-73, 74-74, 76-76, 78-78, 80-80];[40-53, 13-26, 17-30, 24-37, 24-37, 24-37]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/FieldAccessor.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/FieldAccessor.java;net.bytebuddy.implementation$FieldAccessor;net.bytebuddy.implementation$FieldAccessor;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/InvokeDynamic.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/InvokeDynamic.java;net.bytebuddy.implementation$InvokeDynamic;net.bytebuddy.implementation$InvokeDynamic;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/Forwarding.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/Forwarding.java;net.bytebuddy.implementation$Forwarding;net.bytebuddy.implementation$Forwarding;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/auxiliary/TypeProxy.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/auxiliary/TypeProxy.java;net.bytebuddy.implementation.auxiliary$TypeProxy;net.bytebuddy.implementation.auxiliary$TypeProxy;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/auxiliary/MethodCallProxy.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/auxiliary/MethodCallProxy.java;net.bytebuddy.implementation.auxiliary$MethodCallProxy;net.bytebuddy.implementation.auxiliary$MethodCallProxy;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/MethodCall.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/MethodCall.java;net.bytebuddy.implementation$MethodCall;net.bytebuddy.implementation$MethodCall;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/DefaultMethodCall.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/DefaultMethodCall.java;net.bytebuddy.implementation$DefaultMethodCall;net.bytebuddy.implementation$DefaultMethodCall;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/FieldProxy.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/FieldProxy.java;net.bytebuddy.implementation.bind.annotation$FieldProxy;net.bytebuddy.implementation.bind.annotation$FieldProxy;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/TargetMethodAnnotationDrivenBinder.java;bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/TargetMethodAnnotationDrivenBinder.java;net.bytebuddy.implementation.bind.annotation$TargetMethodAnnotationDrivenBinder;net.bytebuddy.implementation.bind.annotation$TargetMethodAnnotationDrivenBinder;1;[UpdateOperation];"[]";[];[];[];[];[]
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/TypeWriter.java,bugswarm-sandbox/bugs/raphw/byte-buddy/165510013/bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/TypeWriter.java
