bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-agent/src/main/java/net/bytebuddy/agent/ByteBuddyAgent.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-agent/src/main/java/net/bytebuddy/agent/ByteBuddyAgent.java;net.bytebuddy.agent$ByteBuddyAgent;net.bytebuddy.agent$ByteBuddyAgent;4;[DeleteOperation, DeleteOperation, MoveOperation, MoveOperation];"[COD(from=(attachmentJar != null) && (!attachmentJar.delete()),to=(attachmentJar != null)), VMD(deleted call to=warning(java.lang.String))]";[ConditionalOperatorDeletion, VoidMethodDeletion];[437-437, 438-438];[17-64, 17-105];[436-438, 436-438];[13-37, 13-40]
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-agent/src/main/java/net/bytebuddy/agent/VirtualMachine.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-agent/src/main/java/net/bytebuddy/agent/VirtualMachine.java;net.bytebuddy.agent$VirtualMachine;net.bytebuddy.agent$VirtualMachine;2;[DeleteOperation, MoveOperation];"[]";[];[];[];[];[]
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/Advice.java,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/asm/Advice.java
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/agent/builder/AgentBuilder.java,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/agent/builder/AgentBuilder.java
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/Pipe.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/implementation/bind/annotation/Pipe.java;net.bytebuddy.implementation.bind.annotation$Pipe;net.bytebuddy.implementation.bind.annotation$Pipe;0;[];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/Nexus.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/Nexus.java;net.bytebuddy.dynamic$Nexus;net.bytebuddy.dynamic$Nexus;2;[DeleteOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java;net.bytebuddy.dynamic$DynamicType;net.bytebuddy.dynamic$DynamicType;11;[DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[VMD(deleted call to=info(java.lang.String))]";[VoidMethodDeletion];[4191-4191];[21-127];[4188-4190];[13-49]
Timeout,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/TypeWriter.java,bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/TypeWriter.java
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/agent/builder/AgentBuilderDefaultApplicationTest.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/test/java/net/bytebuddy/agent/builder/AgentBuilderDefaultApplicationTest.java;net.bytebuddy.agent.builder$AgentBuilderDefaultApplicationTest;net.bytebuddy.agent.builder$AgentBuilderDefaultApplicationTest;11;[DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/test/java/net/bytebuddy/test/utility/AgentAttachmentRule.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/test/java/net/bytebuddy/test/utility/AgentAttachmentRule.java;net.bytebuddy.test.utility$AgentAttachmentRule;net.bytebuddy.test.utility$AgentAttachmentRule;0;[];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/pre_bug/byte-buddy-dep/src/test/resources/net/bytebuddy/test/precompiled/LambdaSampleFactory.java;bugswarm-sandbox/bugs/raphw/byte-buddy/234970606/bug/byte-buddy-dep/src/test/resources/net/bytebuddy/test/precompiled/LambdaSampleFactory.java;net.bytebuddy.test.precompiled$LambdaSampleFactory;net.bytebuddy.test.precompiled$LambdaSampleFactory;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
