"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/scenario/src/main/java/com/github/rinde/rinsim/scenario/ScenarioIO.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/scenario/src/main/java/com/github/rinde/rinsim/scenario/ScenarioIO.java;15;[UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/scenario/src/main/java/com/github/rinde/rinsim/scenario/TimedEvent.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/scenario/src/main/java/com/github/rinde/rinsim/scenario/TimedEvent.java;6;[DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/core/src/main/java/com/github/rinde/rinsim/core/model/ModelManager.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/core/src/main/java/com/github/rinde/rinsim/core/model/ModelManager.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/io/src/main/java/com/github/rinde/rinsim/io/FileProvider.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/io/src/main/java/com/github/rinde/rinsim/io/FileProvider.java;3;[InsertOperation, InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/experiment/src/main/java/com/github/rinde/rinsim/experiment/Experiment.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/experiment/src/main/java/com/github/rinde/rinsim/experiment/Experiment.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/experiment/src/main/java/com/github/rinde/rinsim/experiment/JppfComputer.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/experiment/src/main/java/com/github/rinde/rinsim/experiment/JppfComputer.java;7;[DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/gendreau06/Gendreau06Parser.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/gendreau06/Gendreau06Parser.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/generator/Models.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/generator/Models.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/generator/TimeSeries.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/scenario-util/src/main/java/com/github/rinde/rinsim/scenario/generator/TimeSeries.java;3;[DeleteOperation, InsertOperation, MoveOperation];"[VMD(deleted call to=checkArgument(boolean))]";[VoidMethodDeletion];[231-231];[9-37]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/geom/src/main/java/com/github/rinde/rinsim/geom/AbstractGraph.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/geom/src/main/java/com/github/rinde/rinsim/geom/AbstractGraph.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/geom/src/main/java/com/github/rinde/rinsim/geom/Graphs.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/geom/src/main/java/com/github/rinde/rinsim/geom/Graphs.java;17;[UpdateOperation, UpdateOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/geom/src/main/java/com/github/rinde/rinsim/geom/MultimapGraph.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/geom/src/main/java/com/github/rinde/rinsim/geom/MultimapGraph.java;2;[DeleteOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/rinde/RinSim/45948363/pre_bug/geom/src/main/java/com/github/rinde/rinsim/geom/TableGraph.java;bugswarm-sandbox/bugs/rinde/RinSim/45948363/bug/geom/src/main/java/com/github/rinde/rinsim/geom/TableGraph.java;2;[DeleteOperation, InsertOperation];"[]";[];[];[]
