"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/samples/guide/src/main/java/okhttp3/recipes/RewriteResponseCacheControl.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/samples/guide/src/main/java/okhttp3/recipes/RewriteResponseCacheControl.java;4;[DeleteOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/samples/guide/src/main/java/okhttp3/recipes/CancelCall.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/samples/guide/src/main/java/okhttp3/recipes/CancelCall.java;5;[DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/samples/guide/src/main/java/okhttp3/recipes/Progress.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/samples/guide/src/main/java/okhttp3/recipes/Progress.java;5;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/samples/simple-client/src/main/java/okhttp3/sample/OkHttpContributors.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/samples/simple-client/src/main/java/okhttp3/sample/OkHttpContributors.java;5;[DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/samples/slack/src/main/java/okhttp3/slack/SlackClient.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/samples/slack/src/main/java/okhttp3/slack/SlackClient.java;7;[UpdateOperation, DeleteOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/okhttp-tests/src/test/java/okhttp3/OkHttpClientTest.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/okhttp-tests/src/test/java/okhttp3/OkHttpClientTest.java;3;[DeleteOperation, InsertOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/okhttp-tests/src/test/java/okhttp3/DispatcherTest.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/okhttp-tests/src/test/java/okhttp3/DispatcherTest.java;27;[UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[ArgNrC(from=new java.lang.RuntimeException(e),to=new <okhttp3.e>java.lang.RuntimeException())]";[ArgumentNumberChange];[255-255];[21-43]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/okhttp-tests/src/test/java/okhttp3/CallTest.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/okhttp-tests/src/test/java/okhttp3/CallTest.java;77;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[ArgNrC(from=new java.lang.AssertionError(e),to=new <okhttp3.e>java.lang.AssertionError())]";[ArgumentNumberChange];[2166-2166];[21-41]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/okhttp-tests/src/test/java/okhttp3/ConnectionCoalescingTest.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/okhttp-tests/src/test/java/okhttp3/ConnectionCoalescingTest.java;15;[UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/square/okhttp/400993797/pre_bug/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;bugswarm-sandbox/bugs/square/okhttp/400993797/bug/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;255;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[ArgNrC(from=new java.lang.RuntimeException(e),to=new <okhttp3.e>java.lang.RuntimeException()), VVR(from=new okhttp3.Response.Builder().request(chain.request()).protocol(Protocol.HTTP_1_1),to=new okhttp3.Response.Builder().request(chain.request()).protocol(Protocol.HTTP_1_1)), VVR(from=chainA.withConnectTimeout(100, java.util.concurrent.TimeUnit.MILLISECONDS),to=chainA.withConnectTimeout(100, TimeUnit.MILLISECONDS)), VVR(from=chainA.withReadTimeout(100, java.util.concurrent.TimeUnit.MILLISECONDS),to=chainA.withReadTimeout(100, TimeUnit.MILLISECONDS)), VVR(from=chainA.withWriteTimeout(100, java.util.concurrent.TimeUnit.MILLISECONDS),to=chainA.withWriteTimeout(100, TimeUnit.MILLISECONDS))]";[ArgumentNumberChange, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement];[476-476, 88-93, 674-717, 718-765, 756-807];[23-45, 19-39, 55-85, 52-82, 53-83]
