bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CityeasyProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CityeasyProtocolDecoder.java;org.traccar.protocol$CityeasyProtocolDecoder;org.traccar.protocol$CityeasyProtocolDecoder;11;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation];"[AModifierC(from=private,to=public), VVR(from=org.traccar.protocol.CityeasyProtocolDecoder.MSG_LOCATION_INQUIRY_RESPONSE,to=org.traccar.protocol.CityeasyProtocolDecoder.MSG_LOCATION_REQUEST)]";[AccessorModifierChange, VarToVarReplacement];[0-0, 76-76];[0-0, 52-80];[0-0, 82-82];[0-0, 52-71]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/NavigilProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/NavigilProtocolDecoder.java;org.traccar.protocol$NavigilProtocolDecoder;org.traccar.protocol$NavigilProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/GpsGateProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/GpsGateProtocolDecoder.java;org.traccar.protocol$GpsGateProtocolDecoder;org.traccar.protocol$GpsGateProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/ApelProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/ApelProtocolDecoder.java;org.traccar.protocol$ApelProtocolDecoder;org.traccar.protocol$ApelProtocolDecoder;2;[UpdateOperation, UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/MeiligaoProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/MeiligaoProtocolDecoder.java;org.traccar.protocol$MeiligaoProtocolDecoder;org.traccar.protocol$MeiligaoProtocolDecoder;2;[UpdateOperation, UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/KhdProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/KhdProtocolDecoder.java;org.traccar.protocol$KhdProtocolDecoder;org.traccar.protocol$KhdProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/KhdProtocolEncoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/KhdProtocolEncoder.java;org.traccar.protocol$KhdProtocolEncoder;org.traccar.protocol$KhdProtocolEncoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/Gt06ProtocolEncoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/Gt06ProtocolEncoder.java;org.traccar.protocol$Gt06ProtocolEncoder;org.traccar.protocol$Gt06ProtocolEncoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/Gt06ProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/Gt06ProtocolDecoder.java;org.traccar.protocol$Gt06ProtocolDecoder;org.traccar.protocol$Gt06ProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CastelProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CastelProtocolDecoder.java;org.traccar.protocol$CastelProtocolDecoder;org.traccar.protocol$CastelProtocolDecoder;2;[UpdateOperation, UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CityeasyProtocol.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CityeasyProtocol.java;org.traccar.protocol$CityeasyProtocol;org.traccar.protocol$CityeasyProtocol;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/LaipacProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/LaipacProtocolDecoder.java;org.traccar.protocol$LaipacProtocolDecoder;org.traccar.protocol$LaipacProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/AplicomProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/AplicomProtocolDecoder.java;org.traccar.protocol$AplicomProtocolDecoder;org.traccar.protocol$AplicomProtocolDecoder;1;[UpdateOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/model/Command.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/model/Command.java;org.traccar.model$Command;org.traccar.model$Command;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/WebDataHandler.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/WebDataHandler.java;org.traccar$WebDataHandler;org.traccar$WebDataHandler;1;[UpdateOperation];"[]";[];[];[];[];[]
