"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CityeasyProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CityeasyProtocolDecoder.java;11;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation];"[AModifierC(from=private,to=public), VVR(from=org.traccar.protocol.CityeasyProtocolDecoder.MSG_LOCATION_INQUIRY_RESPONSE,to=org.traccar.protocol.CityeasyProtocolDecoder.MSG_LOCATION_REQUEST)]";[AccessorModifierChange, VarToVarReplacement];[0-0, 76-76];[0-0, 52-80]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/NavigilProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/NavigilProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/GpsGateProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/GpsGateProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/ApelProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/ApelProtocolDecoder.java;2;[UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/MeiligaoProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/MeiligaoProtocolDecoder.java;2;[UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/KhdProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/KhdProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/KhdProtocolEncoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/KhdProtocolEncoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/Gt06ProtocolEncoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/Gt06ProtocolEncoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/Gt06ProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/Gt06ProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CastelProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CastelProtocolDecoder.java;2;[UpdateOperation, UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/CityeasyProtocol.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/CityeasyProtocol.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/LaipacProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/LaipacProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/protocol/AplicomProtocolDecoder.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/protocol/AplicomProtocolDecoder.java;1;[UpdateOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/model/Command.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/model/Command.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/traccar/traccar/83815809/pre_bug/src/org/traccar/WebDataHandler.java;bugswarm-sandbox/bugs/traccar/traccar/83815809/bug/src/org/traccar/WebDataHandler.java;1;[UpdateOperation];"[]";[];[];[]
