"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/AbstractMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/AbstractMatrix.java;12;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, MoveOperation];"[VVR(from=vector,to=that), VVR(from=result,to=that), VVR(from=vector,to=that), VVR(from=vector,to=that), VVR(from=vector,to=that), SD(deleted=return result)]";[VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, StatementDeletion];[437-437, 453-453, 439-439, 462-462, 440-440, 456-456];[33-38, 13-18, 24-29, 25-30, 44-49, 9-22]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/dense/DenseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/dense/DenseMatrix.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/Matrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/Matrix.java;3;[UpdateOperation, UpdateOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/operation/ooplace/OoPlaceMatricesAddition.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/operation/ooplace/OoPlaceMatricesAddition.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/RowMajorSparseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/RowMajorSparseMatrix.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/CCSMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/CCSMatrix.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/ColumnMajorSparseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/ColumnMajorSparseMatrix.java;2;[InsertOperation, InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/CRSMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/CRSMatrix.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/LinearAlgebra.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/LinearAlgebra.java;1;[InsertOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/iterator/CursorIterator.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/iterator/CursorIterator.java;2;[MoveOperation, MoveOperation];"[]";[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/vector/operation/ooplace/OoPlaceVectorByMatrixMultiplication.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/vector/operation/ooplace/OoPlaceVectorByMatrixMultiplication.java;0;[];"[]";[];[];[]
