"Mutant ID";"Nr AST Transformations";"AST Transformations";"Overview Mutation Operators";"Inferred Mutation Operators";"Start End Lines";"Start End Columns"
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/datamatrix/detector/Detector.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/datamatrix/detector/Detector.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/datamatrix/decoder/BitMatrixParser.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/datamatrix/decoder/BitMatrixParser.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/common/GlobalHistogramBinarizer.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/common/GlobalHistogramBinarizer.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/common/BitMatrix.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/common/BitMatrix.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/common/reedsolomon/GenericGF.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/common/reedsolomon/GenericGF.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/pdf417/decoder/ec/ModulusGF.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/pdf417/decoder/ec/ModulusGF.java;2;[DeleteOperation, InsertOperation];"[CVR(from=(modulus - 1),to=(modulus - e1))]";[ConsToVarReplacement];[46-46];[33-36]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/oned/MultiFormatOneDReader.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/oned/MultiFormatOneDReader.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/oned/CodaBarReader.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/oned/CodaBarReader.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/oned/ITFWriter.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/oned/ITFWriter.java;0;[];"[]";[];[];[]
bugswarm-sandbox/bugs/zxing/zxing/139981064/pre_bug/core/src/main/java/com/google/zxing/oned/rss/expanded/ExpandedPair.java;bugswarm-sandbox/bugs/zxing/zxing/139981064/bug/core/src/main/java/com/google/zxing/oned/rss/expanded/ExpandedPair.java;0;[];"[]";[];[];[]
