TAG,DIR,BUILD_ID,ADD_BUG,DEL_BUG,FILES_CHANGED_BUG,ADD_FIX,DEL_FIX,FILES_CHANGED_FIX
tananaev-traccar-81716539,traccar/traccar,81716538,29,33,18,1,1,1
tananaev-traccar-83815810,traccar/traccar,83815809,326,222,21,4,2,1
tananaev-traccar-85219838,traccar/traccar,85219837,161,232,1,11,3,1
tananaev-traccar-95233029,traccar/traccar,95233028,13,12,2,7,3,2
tananaev-traccar-162333127,traccar/traccar,162333125,12,0,1,0,2,1
tananaev-traccar-163222724,traccar/traccar,163222723,11,7,2,1,1,1
tananaev-traccar-164537301,traccar/traccar,164537300,158,0,6,2,2,1
tananaev-traccar-185965292,traccar/traccar,185965291,4,3,1,0,1,1
tananaev-traccar-187803624,traccar/traccar,187803623,293,289,15,6,3,2
tananaev-traccar-189446761,traccar/traccar,189446760,73,50,4,60,45,1
apache-commons-lang-224267191,apache/commons-lang,224267188,31,30,2,1,1,1
apache-commons-lang-232282024,apache/commons-lang,232282021,60,1,3,10,5,2
davidmoten-rxjava-jdbc-172208960,davidmoten/rxjava-jdbc,172208957,215,182,4,1,1,1
konsoletyper-teavm-169174885,konsoletyper/teavm,169174884,2,3,1,1,4,2
Nukkit-Nukkit-93164110,Nukkit/Nukkit,93164108,200,49,5,56,25,5
Nukkit-Nukkit-96964853,Nukkit/Nukkit,96964852,1,1,1,46,3,2
Nukkit-Nukkit-126210681,Nukkit/Nukkit,126210680,16,16,11,0,0,2
Nukkit-Nukkit-147959283,Nukkit/Nukkit,147959280,57,10,5,1,1,1
Nukkit-Nukkit-165723367,Nukkit/Nukkit,165723366,638,85,8,98,93,6
ontop-ontop-76305782,ontop/ontop,76305781,6,3,2,5,3,1
ontop-ontop-87451223,ontop/ontop,87451222,1,1,1,1,1,1
swagger-api-swagger-core-265204530,swagger-api/swagger-core,265204529,3,3,1,0,1,1
NanoHttpd-nanohttpd-63780705,NanoHttpd/nanohttpd,63780704,263,46,3,1,1,1
chewiebug-GCViewer-102107705,chewiebug/GCViewer,102107704,38,48,4,32,35,3
chewiebug-GCViewer-152998030,chewiebug/GCViewer,152998029,5,0,2,5,5,1
mybatis-mybatis-3-121933093,mybatis/mybatis-3,121933092,3,3,3,3,3,3
zxing-zxing-139981065,zxing/zxing,139981064,186,163,46,1,1,1
tananaev-traccar-94037390,traccar/traccar,94037389,5,8,3,53,53,2
tananaev-traccar-64783123,traccar/traccar,64783122,22,20,1,1,1,1
tananaev-traccar-68883949,traccar/traccar,68883948,143,130,10,1,0,1
tananaev-traccar-82839755,traccar/traccar,82839754,18,1,1,1,1,1
tananaev-traccar-85031638,traccar/traccar,85031635,117,111,8,4,2,2
tananaev-traccar-161512309,traccar/traccar,161512308,125,38,2,4,5,1
tananaev-traccar-162979910,traccar/traccar,162979909,99,2,4,0,3,1
tananaev-traccar-165995608,traccar/traccar,165995607,50,3,4,2,1,1
tananaev-traccar-185668912,traccar/traccar,185668911,28,1,2,14,32,1
tananaev-traccar-187574671,traccar/traccar,187574670,12,3,1,0,1,1
tananaev-traccar-188473749,traccar/traccar,188473748,10,7,2,1,1,1
tananaev-traccar-191463332,traccar/traccar,191463331,12,10,2,13,23,1
tananaev-traccar-199074167,traccar/traccar,199074166,35,16,1,1,0,1
tananaev-traccar-201008629,traccar/traccar,201008628,18,0,2,1,7,1
tananaev-traccar-215331201,traccar/traccar,215331200,41,1,2,128,112,1
tananaev-traccar-215762818,traccar/traccar,215762817,6,26,1,0,1,1
tananaev-traccar-236238795,traccar/traccar,236238794,266,1,6,2,2,2
tananaev-traccar-253053893,traccar/traccar,253053892,22,7,3,1,1,1
tananaev-traccar-255051211,traccar/traccar,255051210,3,1,1,1,1,1
apache-commons-lang-210284572,apache/commons-lang,210284569,19,92,3,1,1,1
nutzam-nutz-305692165,nutzam/nutz,305692164,1,1,1,7,5,2
nutzam-nutz-320012347,nutzam/nutz,320012346,0,3,1,1,1,1
nutzam-nutz-321817136,nutzam/nutz,321817135,9,10,2,1,0,1
nutzam-nutz-333553716,nutzam/nutz,333553715,62,5,6,0,5,1
davidmoten-rxjava-jdbc-65230624,davidmoten/rxjava-jdbc,65230623,12,2,1,9,0,1
davidmoten-rxjava-jdbc-65364623,davidmoten/rxjava-jdbc,65364620,43,22,12,12,0,1
Nukkit-Nukkit-93772725,Nukkit/Nukkit,93772724,4,0,1,0,4,1
Nukkit-Nukkit-96232458,Nukkit/Nukkit,96232457,75,83,8,65,59,18
Nukkit-Nukkit-95343070,Nukkit/Nukkit,95343068,173,168,6,4,5,1
FluentLenium-FluentLenium-192472874,FluentLenium/FluentLenium,192472873,2,1,1,45,30,3
stagemonitor-stagemonitor-124528918,stagemonitor/stagemonitor,124528917,27,5,3,8,6,1
stagemonitor-stagemonitor-145477129,stagemonitor/stagemonitor,145477128,6,6,1,1,1,1
square-okhttp-45582449,square/okhttp,45582448,13,13,5,215,32,10
owlcs-owlapi-119939037,owlcs/owlapi,119939036,867,880,15,867,880,15
SpigotMC-BungeeCord-125301102,SpigotMC/BungeeCord,125301101,15,3,1,2,3,1
SpigotMC-BungeeCord-130330788,SpigotMC/BungeeCord,130330785,7,10,2,1,1,1
square-retrofit-105591966,square/retrofit,105591965,15,15,6,15,15,6
owlcs-owlapi-93793148,owlcs/owlapi,93793147,37,2,1,1,1,1
nutzam-nutz-89845306,nutzam/nutz,89845302,1315,958,11,83,53,3
owlcs-owlapi-112316292,owlcs/owlapi,112316291,13,13,13,0,1,1
Nukkit-Nukkit-172723553,Nukkit/Nukkit,172723552,34905,26469,420,34905,26469,420
square-okhttp-49678576,square/okhttp,49678574,215,32,10,215,32,10
Azure-azure-sdk-for-java-136721922,Azure/azure-sdk-for-java,136721921,7,7,3,1,5,2
square-okhttp-45592783,square/okhttp,45592781,13,13,5,215,32,10
owlcs-owlapi-215059047,owlcs/owlapi,215059046,525,1298,52,3,3,1
nutzam-nutz-140438299,nutzam/nutz,140438295,10,3,1,1,1,1
Azure-azure-sdk-for-java-137945691,Azure/azure-sdk-for-java,137945690,32,10,7,95,19,2
Azure-azure-sdk-for-java-138243244,Azure/azure-sdk-for-java,138243243,7,9,2,739,53,22
SonarSource-sonar-php-80796552,SonarSource/sonar-php,80796551,54,141,8,54,141,8
SonarSource-sonar-php-81370545,SonarSource/sonar-php,81370544,54,141,8,620,72,14
SonarSource-sonar-php-81370431,SonarSource/sonar-php,81370430,54,141,8,620,72,14
SonarSource-sonar-php-87447612,SonarSource/sonar-php,87447611,54,141,8,54,141,8
gwtbootstrap3-gwtbootstrap3-49499232,gwtbootstrap3/gwtbootstrap3,49499228,32,12,3,32,12,3
twilio-twilio-java-266091915,twilio/twilio-java,266091913,5,2,1,5,2,2
wmixvideo-nfe-128705455,wmixvideo/nfe,128705454,192,331,9,9,9,2
wmixvideo-nfe-126494335,wmixvideo/nfe,126494334,6730,1238,37,1,4,1
wmixvideo-nfe-150897092,wmixvideo/nfe,150897091,10,6,1,32,32,1
Backendless-Android-SDK-141628334,Backendless/Android-SDK,141628308,87,45,8,0,72,1
raphw-byte-buddy-124133318,raphw/byte-buddy,124133317,24,1,2,13,1,1
raphw-byte-buddy-114772248,raphw/byte-buddy,114772245,180,21,2,9,1,1
raphw-byte-buddy-146257715,raphw/byte-buddy,146257714,128,447,22,1,0,1
raphw-byte-buddy-140517155,raphw/byte-buddy,140517153,1,1,1,9,33,2
raphw-byte-buddy-122614664,raphw/byte-buddy,122614657,503,2,2,1,1,1
raphw-byte-buddy-142690271,raphw/byte-buddy,142690266,79,21,1,1,0,1
raphw-byte-buddy-149688523,raphw/byte-buddy,149688519,648,413,8,13,0,1
raphw-byte-buddy-146248651,raphw/byte-buddy,146248649,397,350,22,50,50,17
raphw-byte-buddy-149441998,raphw/byte-buddy,149441991,263,347,6,9,7,1
raphw-byte-buddy-154415908,raphw/byte-buddy,154415898,104,19,2,5,3,1
raphw-byte-buddy-161164033,raphw/byte-buddy,161164032,70,70,1,38,38,1
raphw-byte-buddy-163617933,raphw/byte-buddy,163617929,1440,456,8,2,2,1
raphw-byte-buddy-160374689,raphw/byte-buddy,160374688,4,0,1,1,0,1
raphw-byte-buddy-164879535,raphw/byte-buddy,164879534,212,0,2,2,2,1
raphw-byte-buddy-165510016,raphw/byte-buddy,165510013,2674,2282,22,10,0,1
raphw-byte-buddy-185233250,raphw/byte-buddy,185233249,614,0,2,5,2,1
raphw-byte-buddy-171820204,raphw/byte-buddy,171820195,22,13,3,1,1,1
raphw-byte-buddy-187512653,raphw/byte-buddy,187512651,238,46,2,7,0,1
raphw-byte-buddy-187606480,raphw/byte-buddy,187606479,120,120,2,1,0,1
raphw-byte-buddy-174535092,raphw/byte-buddy,174535088,8,4,1,0,5,1
raphw-byte-buddy-186958650,raphw/byte-buddy,186958638,279,91,3,1,1,1
raphw-byte-buddy-190259700,raphw/byte-buddy,190259696,216,397,6,0,4,1
raphw-byte-buddy-189190152,raphw/byte-buddy,189190140,13,41,1,1,0,1
raphw-byte-buddy-191630568,raphw/byte-buddy,191630566,260,4,3,9,0,1
raphw-byte-buddy-202917181,raphw/byte-buddy,202917179,39,52,4,0,1,1
raphw-byte-buddy-200856115,raphw/byte-buddy,200856108,35,2,3,0,1,1
raphw-byte-buddy-192022819,raphw/byte-buddy,192022818,85,11,3,10,0,1
raphw-byte-buddy-203568409,raphw/byte-buddy,203568405,9,0,1,2,2,1
raphw-byte-buddy-195567363,raphw/byte-buddy,195567362,1118,959,3,1,0,1
raphw-byte-buddy-220223727,raphw/byte-buddy,220223724,29,15,1,31,3,1
raphw-byte-buddy-232105016,raphw/byte-buddy,232105013,24,10,4,4,2,2
raphw-byte-buddy-204384585,raphw/byte-buddy,204384580,90,1,3,3,0,1
raphw-byte-buddy-94017589,raphw/byte-buddy,94017587,8,5,1,1,0,1
raphw-byte-buddy-99767325,raphw/byte-buddy,99767324,311,518,7,18,2,3
raphw-byte-buddy-96233718,raphw/byte-buddy,96233715,126,13,5,1,0,1
rinde-RinSim-45948364,rinde/RinSim,45948363,74,62,13,10,0,2
rinde-RinSim-46165516,rinde/RinSim,46165515,482,0,1,15,0,1
rinde-RinSim-50180605,rinde/RinSim,50180603,187,22,8,33,0,5
