name;suspiciousness_value
org.traccar.helper$Crc#crc16Reflected(java.nio.ByteBuffer,int,int[]):111;1.0
org.traccar.helper$Crc#crc16Reflected(java.nio.ByteBuffer,int,int[]):113;1.0
org.traccar.helper$Crc#crc16Reflected(java.nio.ByteBuffer,int,int[]):114;1.0
org.traccar.helper$Crc#crc16Reflected(java.nio.ByteBuffer,int,int[]):117;1.0
org.traccar.helper$Crc#crc16Ccitt(java.nio.ByteBuffer):121;1.0
org.traccar.protocol$CastelProtocolDecoder#CastelProtocolDecoder(java.lang.String):37;1.0
org.traccar.protocol$CastelProtocolDecoder#CastelProtocolDecoder(java.lang.String):38;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):51;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):53;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):54;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):55;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):56;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):57;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):59;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):61;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):73;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):75;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):76;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):77;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):79;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):81;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):83;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):84;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):85;1.0
org.traccar.protocol$CastelProtocolDecoder#decode(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.Channel,java.net.SocketAddress,java.lang.Object):86;1.0
